DATES,region,total_cases,border_cases,SUM_EVENTS,EVENT,distance,border_ev,border_region,prob_3,expected_3
1997-09,Moronou,0,0,0,0,288.923,0,0,0.03800813008130058,0
1997-09,Nzi,0,0,0,0,235.966,0,0,0.03800813008130058,0
1997-09,Agneby-Tiassa,0,0,0,0,366.188,0,0,0.03800813008130058,0
1997-09,Grands Ponts,0,0,0,0,422.537,0,0,0.03800813008130058,0
1997-09,La Me,0,0,0,0,320.907,0,0,0.03800813008130058,0
1997-09,Cavally,0,0,0,0,354.354,0,0,0.03800813008130058,0
1997-09,Guemon,0,0,0,0,269.782,0,0,0.03800813008130058,0
1997-09,Tonkpi,0,0,0,0,225.861,0,0,0.03800813008130058,0
1997-09,Haut-Sassandra,0,0,0,0,260.452,0,0,0.03800813008130058,0
1997-09,Marahoue,0,0,0,0,241.387,0,0,0.03800813008130058,0
1997-09,Bagoue,0,0,0,0,0,0,1,0.014014325755221152,0
1997-09,Poro,0,0,0,0,0,0,1,0.014014325755221152,0
1997-09,Tchologo,0,0,0,0,0,0,1,0.014014325755221152,0
1997-09,Gbeke,0,0,0,0,174.775,0,1,0.014014325755221152,0
1997-09,Hambol,0,0,0,0,52.608,0,1,0.014014325755221152,0
1997-09,Bafing,0,0,0,0,120.93,0,1,0.014014325755221152,0
1997-09,Bere,0,0,0,0,111.412,0,1,0.014014325755221152,0
1997-09,Worodougou,0,0,0,0,120.76,0,1,0.014014325755221152,0
1997-09,Yamoussoukro,0,0,0,0,291.49,0,0,0.03800813008130058,0
1997-09,Bounkani,0,0,0,0,0,0,1,0.014014325755221152,0
1997-09,Gontougo,0,0,0,0,70.437,0,1,0.014014325755221152,0
1997-10,Abidjan,0,0,0,0,435.86,0,0,0.03800813008130058,0
1997-10,Gbokle,0,0,0,0,462.565,0,0,0.03800813008130058,0
1997-10,Nawa,0,0,0,0,398.402,0,0,0.03800813008130058,0
1997-10,San-Pedro,0,0,0,0,497.054,0,0,0.03800813008130058,0
1997-10,Indenie-Djuablin,0,0,0,0,235.608,0,0,0.03800813008130058,0
1997-10,Sud Comoe,0,0,0,0,351.809,0,0,0.03800813008130058,0
1997-10,Folon,0,0,0,0,0,0,1,0.014014325755221152,0
1997-10,Kabadougou,0,0,0,0,22.642,0,1,0.014014325755221152,0
1997-10,Goh,0,0,0,0,343.46,0,0,0.03800813008130058,0
1997-10,Loh-Djiboua,0,0,0,0,382.212,0,0,0.03800813008130058,0
1997-10,Belier,0,0,0,0,226.364,0,0,0.03800813008130058,0
1997-10,Iffou,0,0,0,0,174.449,0,1,0.014014325755221152,0
1997-10,Moronou,0,0,0,0,288.923,0,0,0.03800813008130058,0
1997-10,Nzi,0,0,0,0,235.966,0,0,0.03800813008130058,0
1997-10,Agneby-Tiassa,0,0,0,0,366.188,0,0,0.03800813008130058,0
1997-10,Grands Ponts,0,0,0,0,422.537,0,0,0.03800813008130058,0
1997-10,La Me,0,0,0,0,320.907,0,0,0.03800813008130058,0
1997-10,Cavally,0,0,0,0,354.354,0,0,0.03800813008130058,0
1997-10,Guemon,0,0,0,0,269.782,0,0,0.03800813008130058,0
1997-10,Tonkpi,0,0,0,0,225.861,0,0,0.03800813008130058,0
1997-10,Haut-Sassandra,0,0,0,0,260.452,0,0,0.03800813008130058,0
